"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Nov-2022","EQ","609.75","611.30","605.80","607.65","609.60","609.35","608.75","622.70","425.00",8960032,"5,454,395,604.45",128229
"23-Nov-2022","EQ","601.55","609.60","601.00","599.10","607.10","607.65","606.50","622.70","425.00",12435924,"7,542,386,457.50",171897
"22-Nov-2022","EQ","598.15","600.70","596.15","598.10","599.00","599.10","598.56","622.70","425.00",8048595,"4,817,532,263.45",126028
"21-Nov-2022","EQ","602.10","602.10","595.35","602.70","598.00","598.10","598.39","622.70","425.00",7412419,"4,435,509,514.55",135865
"18-Nov-2022","EQ","601.00","605.75","597.15","599.05","602.05","602.70","601.12","622.70","425.00",12933675,"7,774,746,404.45",155935
"17-Nov-2022","EQ","599.10","602.75","596.15","599.75","598.45","599.05","599.41","622.70","425.00",8167131,"4,895,433,201.45",114824
"16-Nov-2022","EQ","599.95","603.50","596.00","600.85","599.00","599.75","600.52","622.70","425.00",11555749,"6,939,489,693.90",168811
"15-Nov-2022","EQ","594.30","602.10","592.65","592.55","601.50","600.85","597.70","622.70","425.00",10286417,"6,148,169,628.95",153811
"14-Nov-2022","EQ","603.95","603.95","591.65","601.30","592.50","592.55","596.08","622.70","425.00",12957268,"7,723,573,323.30",227415
"11-Nov-2022","EQ","617.25","619.55","598.50","605.75","600.00","601.30","605.28","622.70","425.00",15525267,"9,397,103,693.35",220631
"10-Nov-2022","EQ","613.10","615.10","602.20","615.55","605.05","605.75","607.23","622.70","425.00",11618405,"7,055,030,835.70",232699
"09-Nov-2022","EQ","621.00","621.00","610.55","614.15","614.60","615.55","615.08","622.70","425.00",18939854,"11,649,523,009.90",302328
"07-Nov-2022","EQ","613.00","622.70","607.70","593.95","613.80","614.15","615.56","622.70","425.00",44265903,"27,248,449,289.60",470162
"04-Nov-2022","EQ","586.00","596.95","580.40","584.90","595.70","593.95","587.64","596.95","425.00",25759031,"15,137,053,924.20",302456
"03-Nov-2022","EQ","569.00","587.95","568.00","573.85","584.15","584.90","581.58","587.95","425.00",17557998,"10,211,388,603.80",244825
"02-Nov-2022","EQ","575.90","578.95","569.90","576.90","573.00","573.85","574.79","586.20","425.00",10241440,"5,886,694,998.95",142730
"01-Nov-2022","EQ","576.35","585.75","574.60","573.80","576.00","576.90","579.85","586.20","425.00",12069579,"6,998,554,295.30",163499
"31-Oct-2022","EQ","574.95","577.45","568.40","570.75","573.50","573.80","572.79","586.20","425.00",9894639,"5,667,560,387.80",139535
"28-Oct-2022","EQ","579.95","582.65","567.00","579.65","571.80","570.75","572.65","586.20","425.00",10043644,"5,751,515,569.95",144061
"27-Oct-2022","EQ","583.95","585.00","577.60","578.55","579.10","579.65","580.71","586.20","425.00",13613533,"7,905,525,313.35",209377
"25-Oct-2022","EQ","572.50","586.20","568.00","570.50","577.00","578.55","578.28","586.20","425.00",19899324,"11,507,427,412.85",215376
"24-Oct-2022","EQ","567.00","572.50","565.90","560.85","572.15","570.50","569.46","578.50","425.00",3692065,"2,102,464,996.35",63147
"21-Oct-2022","EQ","557.25","565.80","557.25","555.40","561.65","560.85","562.70","578.50","425.00",11767639,"6,621,648,120.80",198859
"20-Oct-2022","EQ","552.00","556.80","545.30","553.40","555.50","555.40","551.98","578.50","425.00",11225588,"6,196,328,573.95",134915
"19-Oct-2022","EQ","563.00","563.45","551.55","562.45","553.75","553.40","555.40","578.50","425.00",9540583,"5,298,845,388.70",137573
"18-Oct-2022","EQ","547.10","563.50","546.75","543.65","562.40","562.45","558.19","578.50","425.00",20440781,"11,409,791,394.10",245391
"17-Oct-2022","EQ","526.40","544.70","524.20","527.20","543.20","543.65","538.70","578.50","425.00",13485349,"7,264,515,862.55",208408
"14-Oct-2022","EQ","530.20","534.85","526.00","521.45","527.80","527.20","530.03","578.50","425.00",8545479,"4,529,375,083.50",144578
"13-Oct-2022","EQ","533.00","533.80","520.20","533.80","521.90","521.45","525.44","578.50","425.00",12972765,"6,816,438,201.85",166849
"12-Oct-2022","EQ","530.00","535.00","526.00","527.40","535.00","533.80","530.03","578.50","425.00",8522604,"4,517,236,010.00",121592
"11-Oct-2022","EQ","530.75","533.70","525.50","530.75","527.00","527.40","529.35","578.50","425.00",10825440,"5,730,463,472.65",159970
"10-Oct-2022","EQ","525.70","533.90","522.20","530.20","531.40","530.75","528.13","578.50","425.00",9649292,"5,096,052,558.90",191653
"07-Oct-2022","EQ","535.50","535.60","526.55","537.30","531.00","530.20","529.64","578.50","425.00",11065307,"5,860,624,159.50",185698
"06-Oct-2022","EQ","534.60","541.80","534.60","532.70","537.35","537.30","538.44","578.50","425.00",9507322,"5,119,102,137.60",183101
"04-Oct-2022","EQ","533.00","535.80","527.80","519.75","532.95","532.70","532.39","578.50","425.00",8745887,"4,656,244,525.45",128142
"03-Oct-2022","EQ","527.60","531.65","518.50","530.60","518.95","519.75","525.01","578.50","425.00",9351162,"4,909,456,239.05",141130
